MasterIndex,Patent,IssueDate,AppDate,OrigAppDate,ReissueOf,Renewal,Continuation,Division,Class,Subclass,OtherClasses,IPCCodes,Claims,NumInventors,FirstInventor,InvCity,InvState,InvCountry,Assignee,AssCity,AssState,AssCountry,NumRefs,NumUSRefs,NumUtilityRefs,NumDesignRefs,NumPlantRefs,NumReissueRefs,NumForReferences,OCPDate,MCPDate,USPQDocketNum,DJ,PatDef,DCPub,DCEdition,DCVolume,DCPage,DCNumPatents,DCDecision,DCState,District,CAFCEra,DistDate,Patentee,AllegInf,AllegInf2,ACPub,ACEdition,ACVolume,ACPage,ACNumPatents,FirstAC,ACDate,Affirmed,ACDecision,DC2ndDecDate,DC2ndCite,DC2ndDec,AC2ndDecDate,AC2ndCite,AC2ndDecision
2341,1891207,12/13/32,6/19/30,6/19/30,na,0,0,0,361,506,252/62.2; 558/291; 558/295,H01G,22,1,"Ruben, Samuel",New Rochelle,NY,US,Ruben Condenser Company,New Rochelle,NY,US,na,na,na,na,na,na,na,na,na,7002,0,0,1,1,23,37,3,V&I,NY,ED,0,5/28/34,"Ruben Condenser Co. and P.R. Mallory & Co., Inc.",Aerovox Corp.,none,1,1,26,62,3,2,5/13/35,0,rev(INV),na,na,na,na,na,na
2342,1891308,12/20/32,8/6/30,8/6/30,na,0,0,0,112,122,83/918,D05B,27,1,"Gruman, Horace Franklyn",St. Louis,MO,US,Lewis Invisible Stitch Machine Company,St. Louis,MO,US,na,na,na,na,na,na,na,na,na,6869; 6989,0,0,1,1,21,377,2,V&I,NY,ED,0,2/5/34,Lewis Invisible Stitch Machine Co.,Max and Anton Popper (d/b/a Popper Machine Co.),none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2343,1891308,12/20/32,8/6/30,8/6/30,na,0,0,0,112,122,83/918,D05B,27,1,"Gruman, Horace Franklyn",St. Louis,MO,US,Lewis Invisible Stitch Machine Company,St. Louis,MO,US,na,na,na,na,na,na,na,na,na,80-85,0,0,1,1,28,344,5,V&I,NY,SD,0,1/28/36,Lewis Invisible Stitch Machine Co.,"Four-Way Knife Pinking Machine Co., Inc. and Jacob Brussell",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2344,1892426,12/27/32,9/22/32,1/21/32,na,0,0,1,132,220,none,A45D; C09K,11,1,"Evans, Ralph L.",New York,NY,US,Zotos Corporation,New York,NY,US,na,na,na,na,na,na,na,na,na,7752,0,0,1,1,31,217,3,V&I,NY,ED,0,9/11/36,Zotos Corp.,William Rader,none,1,1,34,354,3,2,7/26/37,0,rev(INV),na,na,na,na,na,na
2345,1892435,12/27/32,6/3/29,3/15/28,na,0,0,1,137,229,137/513; 137/538,B60S,3,1,"Marchus, Amos S.",Oakland,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,1,1,0,nocite,nocite,nocite,1,NINF,CA,ND,0,unknown,Marchus,"Druge et al., d/b/a Druge Brothers Manufacturing Co.",none,1,1,58,42,1,9,6/11/43,0,rev(INV),na,na,na,na,na,na
2346,1892506,12/27/32,1/30/30,1/30/30,na,0,0,0,165,99,165/DIG.96; 237/12.3B; 454/155,B60H,10,1,"Fink, Henry W.",Minneapolis,MN,US,"Tropic-Aire, Incorporated",Minneapolis,MN,US,na,na,na,na,na,na,na,na,na,7757,0,0,1,1,32,11,4,NINF,NY,ED,0,12/2/36,"Tropic-Aire, Inc.","E.A. Laboratories, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2347,1892552,12/27/32,10/1/21,10/1/21,na,0,0,0,310,163,310/172,H02K,28,1,"Holtz, Frederick C.",Springfield,IL,US,Sangamo Electric Company,Springfield,IL,US,na,na,na,na,na,na,na,na,na,3865-8,0,0,1,1,28,267,3,INV,MA,na,0,1/27/36,"Warren Telechron Co., General Electric, and Sangamo Electric",Waltham Watch Co.,none,1,1,34,135,2,1,6/30/37,0,rev(V&I),na,na,na,na,na,na
2348,1892552,12/27/32,10/1/21,10/1/21,na,0,0,0,310,163,310/172,H02K,28,1,"Holtz, Frederick C.",Springfield,IL,US,Sangamo Electric Company,Springfield,IL,US,na,na,na,na,na,na,na,na,na,3865-8,0,0,1,1,37,667,1,V&I,MA,na,0,5/12/38,Warren Telechron Co. and Sangamo Electric,Waltham Watch Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2349,1892750,1/3/33,11/12/28,9/30/27,na,0,0,1,239,11,128/200.23; 222/394; 239/337; 239/573; 251/321; 29/213.1; 516/8; 516/8.1,B65D; B05D; C09K,5,1,"Rotheim, Erik",Oslo,na,NO,none,na,na,omitted,na,na,na,na,na,na,na,na,na,2536,0,0,1,1,85,521,2,INV,CT,na,0,7/20/49,Bridgeport Brass Co.,"Bostwick Laboratories, Inc. et al.",Connecticut Chemical Research Corp.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2350,1892892,1/3/33,12/5/31,12/5/31,na,0,0,0,43,42.15,43/42.35; 43/42.39; 43/42.47,A01K,4,1,"Jamar, Jr., Mitchell F.",Dowagiac,MI,US,James Heddon's Sons,Dowagiac,MI,US,na,na,na,na,na,na,na,na,na,966,0,0,1,1,47,106,2,INV,MI,ED,0,10/10/40,James Heddon's Sons,"Millsite Steel & Wire Works, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2351,1893025,1/3/33,7/1/30,7/1/30,na,0,0,0,310,39,40/421; 40/463,H02K,20,2,"Gregory, Eli E.",Brooklyn,NY,US,"Gregory, Eli E.",Brooklyn,NY,US,na,na,na,na,na,na,na,na,na,2-386,0,0,1,1,45,704,1,INV,NY,SD,0,4/20/40,Gregory et al.,"Royal Typewriter Co., Inc., et al.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2352,1893466,1/3/33,1/17/19,1/17/19,na,0,0,0,313,260,313/265; 313/292; 313/326; 313/350,H01J,12,1,"Gowen, Robert F.",New York,NY,US,De Forest Radio Telephone & Telegraph Company,New York,NY,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,V&I,IL,ND,0,unknown,"Radio Corp. of America, Westinghouse Electric & Mfg. Co., Westinghouse Lamp Co. and General Electric Co.","Frank J. Hajek, d/b/a Taylor Tubes and Warren G. Taylor",none,1,1,29,103,3,7,3/20/36,0,rev(NINF),na,na,na,na,na,na
2353,1893535,1/10/33,9/28/29,9/28/29,na,0,0,0,62,301,249/70,F25C,20,1,"Buchanan, Michael Kerin",Ocean View,VA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,8602,0,0,1,1,44,645,1,NINF,NY,ED,0,3/8/40,Mechanical Ice Tray Corp.,"Abraham & Straus, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2354,1893614,1/10/33,12/27/30,12/27/30,na,0,0,0,415,149.2,384/297,F04D,4,1,"Couch, Royden O.",Grant,FL,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,226-M,0,0,1,1,49,595,1,V&I,FL,SD,0,5/26/41,"Couch, d/b/a Couch Manufactruing Co.","Howell et al., d/b/a G & H Machine Works",none,1,1,53,531,1,5,5/22/42,1,affirmed,na,na,na,na,na,na
2355,1893809,1/10/33,6/20/31,6/20/31,na,0,0,0,57,315,19/283; 28/279,D02G,13,2,"Stone, Malcolm B.",Milton,MA,US,Ludlow Manufacturing Associates,Boston,MA,US,na,na,na,na,na,na,na,na,na,1096,0,0,1,1,58,517,1,INV,NJ,na,0,6/14/43,Ludlow Manufacturing & Sales Co.,Dolphin Jute Mills (Inc.),none,1,1,63,360,1,3,12/1/44,1,affirmed,na,na,na,na,na,na
2356,1893873,1/10/33,1/29/27,1/29/27,na,0,0,0,528,295.5,none,C08G,41,1,"Kienle, Roy H.",Schenectady,NY,US,General Electric Company,na,na,omitted,na,na,na,na,na,na,na,na,na,7192,0,0,1,1,26,71,1,INV,NY,ED,0,6/12/35,General Electric Co.,Paramet Chemical Corp.,none,1,1,28,496,1,2,2/10/36,1,affirmed,na,na,na,na,na,na
2357,1894020,1/10/33,3/3/30,3/3/30,na,0,0,0,209,155,119/56.1; 209/173; 209/495; 222/447; 91/189R,B03B,12,1,"Chance, Thomas M.",Merion,PA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,9637; Dec. Term; 1936,0,0,1,1,39,227,6,INV,PA,ED,0,10/11/38,Chance et al.,Lehigh Navigation Coal Co.,none,1,1,46,574,5,3,12/7/39,1,affirmed,na,na,na,na,na,na
2358,1894032,1/10/33,9/21/32,1/21/32,na,0,0,1,132,220,none,A45D; C09K,6,1,"Evans, Ralph L.",New York,NY,US,Zotos Corporation,New York,NY,US,na,na,na,na,na,na,na,na,na,7752,0,0,1,1,31,217,3,V&I,NY,ED,0,9/11/36,Zotos Corp.,William Rader,none,1,1,34,354,3,2,7/26/37,0,rev(INV),na,na,na,na,na,na
2359,1894234,1/10/33,10/20/32,10/20/32,na,0,0,0,417,54,417/87; 417/90,B63B; F04F,4,1,"Engstrand, Gunnar C.",New York,NY,US,"Sludge Pumping, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,7974,0,0,1,1,34,159,3,NINF,NY,ED,0,5/7/37,Salvage Process Corp. and Sludge Pumping Inc.,Acme Tank Cleaning Process Corp.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2360,1895164,1/24/33,8/28/31,8/28/31,na,0,0,0,108,123,none,D06F,5,1,"Kalgren, John E.",Minneapolis,MN,US,J. R. Clark Company,Minneapolis,MN,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,INV,OH,SD,0,unknown,"Rid-Jid Products, Inc. et al.",The Rich Pump & Ladder Co.,none,1,1,41,691,3,6,5/5/39,1,affirmed,na,na,na,na,na,na
2361,1895409,1/24/33,4/28/32,4/28/32,na,0,0,0,40,389,none,B42F,7,1,"Drucker, Rudolf",Hauge,na,NL,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,1,1,0,nocite,nocite,nocite,2,V&I,NJ,na,0,unknown,The Bates Manufacturing Co. et al.,Zephyr American Corp.,none,1,1,53,495,2,3,5/15/42,0,rev(INV),na,na,na,na,na,na
2362,1895586,1/31/33,2/20/28,3/25/26,na,0,0,1,217,122,none,na,2,1,"Schmidtke, Albert H.",St. Joseph,MI,US,St. Joseph Iron Works,St. Joseph,MI,US,na,na,na,na,na,na,na,na,na,2558,0,0,1,1,26,299,2,NINF,MI,WD,0,8/13/35,Straight Side Basket Corp. and St. Joseph Iron Works,Zapf Fruit Package Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2363,1895586,1/31/33,2/20/28,3/25/26,na,0,0,1,217,122,none,na,2,1,"Schmidtke, Albert H.",St. Joseph,MI,US,St. Joseph Iron Works,St. Joseph,MI,US,na,na,na,na,na,na,na,na,na,1992,0,0,1,1,39,475,2,V&I,ID,na,0,9/27/38,Straight Side Basket Corp. et al.,"Kull et al., d/b/a Two States Fruit Package Co. et al.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2364,1896020,1/31/33,6/21/29,6/21/29,na,0,0,0,422,209,34/138; 422/232; 423/620; 55/341.1; 55/341.2; 55/429,C01G,11,1,"Shimadzu, Genzo",Kioto,na,JP,none,na,na,omitted,na,na,na,na,na,na,na,na,na,7727,0,0,1,1,31,311,6,V&I,PA,ED,0,10/5/36,Genzo Shimadzu and Noretheastern Engineering Corp.,Electric Storage Battery Co.,none,1,1,38,438,6,3,8/8/38,1,affirmed,na,na,na,na,na,na
2365,1896079,2/7/33,12/25/31,12/25/31,na,0,0,0,204,203,none,B65G,14,1,"Hall, Wesley F.",Matawan,NJ,US,Hanson-Van Winkle Munning Company,Matawan,NJ,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,54,481,2,V&I,NY,ND,0,9/12/42,The Hanson-Van Winkle-Munning Co.,The U.S. Galvanizing & Plating Equipment Corp. et al.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2366,1896369,2/7/33,12/17/29,12/17/29,na,0,0,0,242,251,none,A01K,10,1,"Perrine, Emmett Burgess",Los Angeles,CA,US,Perrine Manufacturing Co.,Minneapolis,MN,US,na,na,na,na,na,na,na,na,na,notcapt,0,1,0,nocite,nocite,nocite,1,V&I,MN,na,0,unknown,Emmett Burgess Perrine and Perrine Manufacturing Co.,Frank Burdick and Shakespeare Co.,none,1,1,34,176,1,8,7/1/37,1,affirmed,na,na,na,na,na,na
2367,1896403,2/7/33,8/29/30,8/29/30,na,0,0,0,423,173,none,C04B,9,1,"Haden, Cecil Rhea",Houston,TX,US,The Haden Lime Company,Houston,TX,US,na,na,na,na,na,na,na,na,na,774,0,0,1,1,43,441,1,NINF,LA,WD,0,11/30/39,W.D. Haden Co.,"The Mathieson AlKali Works, Inc.",none,1,1,50,598,1,5,9/13/41,1,affirmed,na,na,na,na,na,na
2368,1896594,2/7/33,3/7/29,3/7/29,na,0,0,0,428,142,106/222; 427/257; 428/152; 428/161; 428/499,C09D,28,1,"Root, Frank Brian",East Orange,NJ,US,Chadeloid Chemical Company,New York,NY,US,na,na,na,na,na,na,na,na,na,188,0,0,1,1,53,303,2,V&I,NY,WD,0,3/26/42,"New Wrinkle, Inc.",Fritz,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2369,1896744,2/7/33,7/27/31,7/27/31,na,0,0,0,239,493,none,F23D,2,1,"Frick, Carl S.",Janesville,WI,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,7731,0,0,1,1,29,396,1,V&I,NY,ED,0,4/23/36,Carl S. Frick and Engineers Supply Company Inc.,"George B. Crisp, d/b/a Gibson Engineering Service",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2370,1896934,2/7/33,8/11/30,8/11/30,na,0,0,0,223,2,none,D06F,39,1,"Beattie, Walter J.",Cohoes,NY,US,The Beattie Manufacturing Co.,Cohoes,NY,US,na,na,na,na,na,na,na,na,na,1073,0,0,1,1,33,182,4,V&I,DE,na,0,3/25/37,"Beattie Mfg. Co. and Cluett, Peabody & Co., Inc.","Tutelman-Kohn-Marcus, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2371,1897014,2/7/33,11/10/31,5/27/29,na,0,0,1,248,580,123/192.1; 123/195R; 180/300; 248/638; 248/659; 384/218,F16F,10,1,"Trott, Rolland S.",Denver,CO,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,10150,0,0,1,1,23,225,4,INV,CO,na,0,11/5/34,Rolland S. Trott and Borg-Warner Corp.,Cullen-Thompson Motor Co.,Chrysler Corp. of Detroit,1,1,31,210,3,10,10/23/36,1,affirmed,na,na,na,na,na,na
2372,1897153,2/14/33,1/12/31,1/12/31,na,0,0,0,180,24.11,none,B60K,10,1,"Thornton, Ray",Detroit,MI,US,"Patent Developers, Inc.",na,na,omitted,na,na,na,na,na,na,na,na,na,7533,0,0,1,1,32,143,2,V&I,MI,ED,0,12/19/36,"Patent Developers, Inc. and Thornton Tandem Co.",Gear Grinding Machine Co. and Noble C. Banks,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2373,1897867,2/14/33,8/29/31,8/29/31,na,0,0,0,83,299,74/437; 83/324,B26D,31,1,"Sieg, Karl",Philadelphia,PA,US,Samuel M. Langston Co.,Camden,NJ,US,na,na,na,na,na,na,na,na,na,7298,0,0,1,1,25,54,1,V&I,NY,ED,0,3/18/35,Samuel M. Langston Co.,Continental Container Corp.,none,1,1,28,317,1,2,1/6/36,0,rev(NINF),na,na,na,na,na,na
2374,1898318,2/21/33,7/13/31,7/13/31,na,0,0,0,15,48,none,A47L,4,1,"Smith, Earle R.",Alhambra,CA,US,"Gillette Sweeper Corporation, Lrd.",Los Angeles,CA,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,INV,IN,SD,0,unknown,E.R. Wagner Manufacturing Co. et al.,Porter Steel Specialties,none,1,1,47,371,1,7,11/29/40,0,rev(V&I),na,na,na,na,na,na
2375,1898535,2/21/33,1/30/30,1/30/30,na,0,0,0,271,12,271/14; 271/98,B65H,5,3,"Haupt, Arno",Leipzig,na,DE,none,na,na,omitted,na,na,na,na,na,na,na,na,na,20-333,1,1,1,1,73,35,3,INV,NY,SD,0,8/30/46,Dexter Folder Co. et al.,"American Type Founders, Inc.",none,1,1,75,193,3,2,11/3/47,1,affirmed,na,na,na,na,na,na
2376,1898584,2/21/33,11/12/29,11/12/29,na,0,0,0,16,198,none,E05D,3,1,"Mantz, Aloysius F.",Los Angeles,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,59-Y,0,0,1,1,43,214,2,NINF,CA,SD,0,10/14/39,Mantz et al.,Kersting,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2377,1898608,2/21/33,1/22/32,1/22/32,na,0,0,0,55,452,55/459.1; 55/463,B04C,4,1,"Alexander, William",Glasgow,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,12-252,0,0,1,1,53,99,1,INV,NY,SD,0,1/28/42,"Engineering Specialties Co., Inc., et al.",Burgess Battery Co.,none,1,1,58,1,1,2,6/3/43,1,affirmed,na,na,na,na,na,na
2378,1899635,2/28/33,4/22/31,4/22/31,na,0,0,0,57,120,184/7.1; 384/415,D01H,7,1,"Powrie, Thomas Kilpatrick",Paisley,na,GB,none,na,na,omitted,na,na,na,na,na,na,na,na,na,8615/8617,0,0,1,1,36,389,2,INV,PA,ED,0,4/28/37,Whitinsville Spinning Ring Co. et al.,R.K. Laros Silk Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2379,1899777,2/28/33,3/5/29,3/5/29,na,0,0,0,351,172,65/38; D16/101,G02C,15,1,"Stanley, Nathan M.",Dayton,OH,US,"The Univis Corporation of Delaware; United Kingdom Optical Company, Limited",London,na,GB,na,na,na,na,na,na,na,na,na,2978,0,0,1,1,40,410,1,V&I,MO,WD,0,1/24/39,The Univis Corp. et al.,"Morgan, d/b/a Morgan Optical Co.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2380,1899777,2/28/33,3/5/29,3/5/29,na,0,0,0,351,172,65/38; D16/101,G02C,15,1,"Stanley, Nathan M.",Dayton,OH,US,"The Univis Corporation; United Kingdom Optical Company, Limited",Wilmington; London,DE,US; GB,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,INV,MI,ED,0,unknown,The Univis Corp. et al.,Rips et al. and Grimshaw,none,1,1,41,685,2,6,5/3/39,1,affirmed,na,na,na,na,na,na
2381,1899782,2/28/33,12/17/29,1/7/27,na,0,1,1,428,465,215/347; 428/455; 428/467; 428/537.5; 428/66.3,B32B,9,1,"Warth, Albin H.",Baltimore,MD,US,"Crown Cork & Seal Company, Inc.",New York,NY,US,na,na,na,na,na,na,na,na,na,7371,0,0,1,1,28,521,7,INV,NY,ED,0,3/2/36,"Crown Cork & Seal Co., Inc.",Ferdinand Gutmann & Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2382,1899783,2/28/33,10/31/30,5/5/29,na,0,0,1,215,328,264/DIG.76; 413/8; 425/809,B65D,6,1,"Warth, Albin H.",Baltimore,MD,US,"Crown Cork & Seal Company, Inc.",Baltimore,MD,US,na,na,na,na,na,na,na,na,na,7371,0,0,1,1,28,521,7,INV,NY,ED,0,3/2/36,"Crown Cork & Seal Co., Inc.",Ferdinand Gutmann & Co.,none,1,1,32,106,6,2,12/14/36,1,affirmed,na,na,na,na,na,na
2383,1899890,2/28/33,3/30/32,3/30/32,na,0,0,0,450,12,none,A41C,5,1,"Cunningham, Katherine E.",Chicago,IL,US,"Associated Apparel Industries, Inc.",Chicago,IL,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,IL,ND,0,unknown,The H.W. Gossard Co.,Loeber's Inc.; Loeber's Hair Goods Co. et al.,none,1,1,46,170,2,7,6/24/40,0,rev(INV),na,na,na,na,na,na
2384,1900030,3/7/33,5/28/30,5/28/30,na,0,0,0,101,154,101/247; 101/36; 101/366,B05C,8,2,"Von Webern, Guido",Dayton,OH,US,Oxford Varnish Corporation,Detroit,MI,US,na,na,na,na,na,na,na,na,na,7240,0,0,1,1,38,42,4,INV,MI,ED,0,6/6/38,Oxford Varnish Corp. et al.,General Motors Corp. et al.,none,1,1,49,573,3,6,5/16/41,1,affirmed,na,na,na,na,na,na
2385,1900749,3/7/33,3/15/30,3/15/30,na,0,0,0,138,168,none,F16L,4,1,"Sladky, Alexander C.",Milwaukee,WI,US,The Reeves Manufacturing Company,Dover,OH,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,V&I,WI,ED,0,unknown,Reeves Mfg. Co.,Milcor Steel Co.,none,1,1,26,292,3,7,7/27/35,1,affirmed,na,na,na,na,na,na
2386,1900750,3/7/33,11/24/31,11/24/31,na,0,0,0,138,168,none,na,7,1,"Krantz, Joseph A.",Dover,OH,US,The Reeves Manufacturing Company,Dover,OH,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,3,V&I,WI,ED,0,unknown,Reeves Mfg. Co.,Milcor Steel Co.,none,1,1,26,292,3,7,7/27/35,1,affirmed,na,na,na,na,na,na
2387,1900859,3/7/33,7/25/30,7/25/30,na,0,0,0,423,335,516/111,C01B,9,2,"Connolly, Gerald C.",Baltimore,MD,US,Silica Gel Corporation,Baltimore,MD,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,INV,IL,ND,0,unknown,The Davison Chemical Corp.,"Joliet Chemicals, Inc., et al.","Des Plaines Oil Co. and Joliet Chemicals, Ltd.",1,1,84,325,1,7,2/8/50,1,affirmed,na,na,na,na,na,na
2388,1901399,3/14/33,2/25/30,2/25/30,na,0,0,0,42,130,none,F41G,9,1,"Lyman, Jr., Charles E.",Middlefield,CT,US,The Lyman Gun Sight Corporation,Middlefield,CT,US,na,na,na,na,na,na,na,na,na,10382,0,0,1,1,27,298,1,INV,CO,na,0,11/15/35,Lyman Gun Sight Corp.,Redfield Gun Sight Corp.,none,1,1,32,111,1,10,12/29/36,1,affirmed,na,na,na,na,na,na
2389,1902440,3/21/33,1/15/32,1/15/32,na,0,0,0,40,583,359/540; 359/541; 362/327; 362/812; 404/16,G02B; G09F,9,1,"Gill, Jr., Edwin R.",Yonkers,NY,US,Prismo Holding Corporation,na,na,omitted,na,na,na,na,na,na,na,na,na,Jan-73,0,1,1,1,45,74,2,INV,NY,SD,0,3/25/40,Prismo Holding Corp. et al.,The Refractolite Corp.,none,1,1,48,497,1,2,2/24/41,0,rev(V&I),na,na,na,na,na,na
2390,1902509,3/21/33,2/3/33,6/6/31,na,0,0,1,248,605,180/292,B60K,23,1,"Lee, Roger K.",Highland Park,MI,US,Chrysler Corporation,Highland Park,MI,US,na,na,na,na,na,na,na,na,na,10150,0,1,1,1,23,225,4,INV,CO,na,0,11/5/34,Chrysler Corp. of Detroit,Rolland S. Trott ,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2391,1902725,3/21/33,11/7/31,11/7/31,na,0,0,0,36,22R,12/146BP,A43B,4,1,"Sbicca, Frank",Philadelphia,PA,US,Sbicca-Method Shoes Incorporated,Philadelphia,PA,US,na,na,na,na,na,na,na,na,na,7334,0,0,1,1,27,95,2,INV,NY,ED,0,4/22/35,Sbicca-Method Shoes Inc.,"M. Wolf & Sons, Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2392,1902769,3/21/33,2/18/32,2/18/32,na,0,0,0,40,650,52/38,G09F,3,1,"Esdorn, John H.",New Rochelle,NY,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,7044-5,0,0,1,1,23,173,1,INV,NY,ED,0,3/21/34,John H. Esdorn et al.,"Brooklyn Moulding Co., Inc.","M. Greenspan & Co., Inc.",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2393,1902957,3/28/33,5/18/32,5/18/32,na,0,0,0,66,171,66/202,D04C,5,1,"Hinlein, Milton J.",Philadelphia,PA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,86-235,0,0,1,1,44,69,1,INV,NY,SD,0,12/13/39,Hinlein et al.,"Fine-Mark Braid and Knitting Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2394,1903037,3/28/33,8/14/31,8/14/31,na,0,0,0,454,120,165/43,B60H 1/00,5,1,"Fraver, Ivan",West Reading,PA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,1,1,97,291,1,INV,PA,WD,0,5/1/53,Ivan N. Fraver,The Studebaker Corp.,none,1,1,100,259,2,3,12/16/53,1,affirmed,na,na,na,na,na,na
2395,1903106,3/28/33,8/7/31,8/7/31,na,0,0,0,138,150,138/145,F16L,12,1,"Gillies, William R.",Chicago,IL,US,Union Asbestos & Rubber Company,Chicago,IL,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,2,INV,IL,ND,0,unknown,Union Asbestos & Rubber Co.,Gustin-Bacon Manufacturing Co.,none,1,1,78,238,2,7,7/23/48,1,affirmed,na,na,na,na,na,na
2396,1903538,4/11/33,10/29/28,10/29/28,na,0,0,0,425,18,425/189; 425/195; 425/35; 425/40,B29D,14,1,"Thorsen, Karl K. A.",San Francisco,CA,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,21522-R,0,1,1,1,50,99,5,INV,CA,ND,0,5/12/41,"Bacon, Sr., et al.",Super Mold Corp. of Cal.,none,1,1,55,100,4,9,9/12/42,1,affirmed,na,na,na,na,na,na
2397,1903559,4/11/33,10/1/28,10/1/28,na,0,0,0,242,254,242/304,A01K,21,1,"Shakespeare, Jr., William",Kalamazoo,MI,US,Shakespeare Company,Kalamazoo,MI,US,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,MN,na,0,unknown,Shakespeare Co.,Perrine Manufacturing Co. et al,none,1,1,34,172,1,8,7/1/37,1,affirmed,na,na,na,na,na,na
2398,1903615,4/11/33,3/9/32,3/9/32,na,0,0,0,47,2,416/110,A01G,7,1,"Towt, Charles Warren",Lindsay,CA,US,"Towt, Charles Warren; Towt, Donald Gale",Lindsay,CA,US,na,na,na,na,na,na,na,na,na,1274-BH,0,0,1,1,52,364,2,INV,CA,SD,0,10/7/41,Towt et al.,"The National Frost Protection Co., Inc.",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2399,1903811,4/18/33,3/11/30,3/11/30,na,0,0,0,343,702,343/901,H01Q,4,2,"Gebhard, Louis A.",Washington,DC,US,none,na,na,omitted,na,na,na,na,na,na,na,na,na,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,DC,na,0,unknown,Gebhard et al.,General Motors Sales Corp. et al.,none,1,1,57,166,1,DC,4/12/43,0,rev(INV),na,na,na,na,na,na
2400,1903957,4/18/33,2/21/27,2/21/27,na,0,0,0,210,85,210/138; 210/96.1; 422/116; 436/79,B01J,16,1,"Clark, Thomas B.",Rockford,IL,US,The Permutit Company,Wilmington,DE,US,na,na,na,na,na,na,na,na,na,333,0,0,1,1,66,294,4,INV,WI,WD,0,6/28/45,The Permutit Co.,"The Village of Poynette, Wisconsin",none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
